FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2,CLASE3,CLASE4,VALORNUEVO,FRESCURANUEVO
25/11/1987,FEMENINO,CASADO,BACHILLERATO,PROPIA,0,5000,28590,0,1,2,0,SINODATOS,945.79,0,SI,POTENCIALES,V1F1,V1,F1,V2,F1
06/03/1969,FEMENINO,CASADO,BACHILLERATO,PAGANDOLA,0,6000,28110,8,0,22,0,SINODATOS,1165.79,0,NO,POTENCIALES,V2F2,V2,F2,V4,F2
16/09/1963,MASCULINO,CASADO,PRIMARIA,PROPIA,1,16000,28040,13,0,27,0,SINODATOS,1091.29,0,SI,POTENCIALES,V3F2,V3,F2,V4,F3
25/07/1986,MASCULINO,CASADO,LICENCIATURA,RENTADA,0,8000,28983,0,2,0,8,NO,1311.47,207.7,NO,POTENCIALES,V2F2,V2,F2,V3,F3
11/08/1986,FEMENINO,UNIONLIBRE,BACHILLERATO,FAMILIARES,1,10000,28973,16,0,4,0,SINODATOS,1091.29,632.72,SI,PERDIDOS,V1F1,V1,F1,V3,F3
02/05/1987,FEMENINO,SOLTERO,LICENCIATURA,PRESTADA,0,4000,28985,3,0,2,0,NO,1018.54,0,SI,PERDIDOS,V1F2,V1,F2,V1,F3
26/10/1965,FEMENINO,CASADO,PRIMARIA,PROPIA,0,4800,28976,30,0,4,0,SINODATOS,1091.29,107.36,SI,POTENCIALES,V3F2,V3,F2,V4,F4
22/07/1986,FEMENINO,CASADO,MAESTRIA,RENTADA,0,7800,28979,1,2,1,3,SINODATOS,1609.14,5.94,NO,POTENCIALES,V3F2,V3,F2,V4,F3
23/06/1974,MASCULINO,CASADO,CARRERATECNICA,PROPIA,3,8000,28048,15,0,2,9,SINODATOS,1705.15,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
12/11/1996,FEMENINO,SOLTERO,BACHILLERATO,FAMILIARES,0,4000,28000,19,0,1,6,NO,909.41,0,NO,POTENCIALES,V2F2,V2,F2,V3,F5
17/05/1974,FEMENINO,CASADO,PRIMARIA,PROPIA,0,4000,28040,12,0,3,0,SINODATOS,1018.54,0,SI,LEALTAD,V3F3,V3,F3,V5,F5
12/09/1991,FEMENINO,CASADO,BACHILLERATO,PAGANDOLA,0,5000,28984,0,2,5,0,SINODATOS,684.41,24.3,SI,POTENCIALES,V2F2,V2,F2,V3,F4
07/09/1988,FEMENINO,UNIONLIBRE,SECUNDARIA,FAMILIARES,0,10000,28970,0,2,6,0,SINODATOS,945.79,336.16,SI,POTENCIALES,V3F2,V3,F2,V5,F5
29/03/1994,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,4800,28513,8,0,3,0,NO,909.41,0,NO,PERDIDOS,V1F1,V1,F1,V2,F2
27/04/1986,FEMENINO,SOLTERO,SECUNDARIA,PADRES,1,4000,28985,6,0,0,3,SINODATOS,945.79,0,SI,POTENCIALES,V3F2,V3,F2,V3,F2
18/04/1969,FEMENINO,SOLTERO,SECUNDARIA,PROPIA,0,5400,28979,13,0,19,0,SINODATOS,1018.54,3.76,SI,PERDIDOS,V1F1,V1,F1,V2,F1
12/03/1981,FEMENINO,UNIONLIBRE,CARRERATECNICA,PAGANDOLA,0,8000,28989,7,0,12,0,SINODATOS,500,1041.36,NO,POTENCIALES,V2F1,V2,F1,V2,F2
20/05/1992,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,6000,28000,19,0,1,6,NO,1420.96,0,NO,ATENCION ALTA,V2F2,V2,F2,V3,F2
27/03/1986,FEMENINO,SOLTERO,LICENCIATURA,PRESTADA,0,5000,28000,1,6,1,6,NO,1300,1.98,NO,ATENCION ALTA,V3F2,V3,F2,V3,F3
09/08/1994,FEMENINO,SOLTERO,CARRERATECNICA,PADRES,0,4000,28000,22,0,1,0,NO,909.41,0,NO,LEALTAD,V3F3,V3,F3,V3,F4
09/09/1996,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,5000,28000,5,0,0,4,NO,1250,0,NO,POTENCIALES,V3F2,V3,F2,V3,F3
21/04/1992,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,10500,28000,12,0,5,0,NO,2625,0,NO,LEALTAD,V4F3,V4,F3,V4,F4
08/04/1995,FEMENINO,SOLTERO,BACHILLERATO,RENTADA,1,4000,28000,3,0,1,6,NO,587.53,0,NO,PERDIDOS,V1F1,V1,F1,V3,F2
17/10/1950,FEMENINO,CASADO,PRIMARIA,PROPIA,0,16800,28984,1,6,1,0,SINODATOS,5040,0,NO,POTENCIALES,V4F2,V4,F2,V5,F2
04/10/1996,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,4500,28984,5,1,2,0,NO,909.41,0,NO,POTENCIALES,V3F2,V3,F2,V4,F2
31/12/1993,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,5000,28017,21,0,0,7,NO,909.41,0,NO,POTENCIALES,V2F1,V2,F1,V3,F2
01/04/1995,FEMENINO,SOLTERO,BACHILLERATO,FAMILIARES,0,4200,49850,21,0,1,5,NO,909.41,0,NO,POTENCIALES,V2F2,V2,F2,V3,F2
05/02/1998,FEMENINO,SOLTERO,SECUNDARIA,PADRES,0,4400,28000,18,0,0,3,NO,909.41,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
23/11/1970,MASCULINO,CASADO,BACHILLERATO,FAMILIARES,3,9000,28509,2,0,2,6,SINODATOS,1018.54,0,SI,POTENCIALES,V2F1,V2,F1,V3,F2
03/06/1972,FEMENINO,UNIONLIBRE,BACHILLERATO,FAMILIARES,0,6000,28000,0,7,1,0,NO,1018.54,186.12,NO,LEALTAD,V3F3,V3,F3,V4,F4
06/08/1992,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,6000,28979,15,0,2,0,NO,1420.96,41.58,NO,POTENCIALES,V2F1,V2,F1,V2,F2
03/08/1982,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,8000,28000,34,0,10,0,NO,2400,788,NO,POTENCIALES,V4F2,V4,F2,V5,F2
08/02/1985,FEMENINO,SEPARADO,BACHILLERATO,PADRES,1,3200,28000,3,0,1,6,SINODATOS,896,0,SI,POTENCIALES,V2F1,V2,F1,V2,F1
27/02/1987,MASCULINO,UNIONLIBRE,PRIMARIA,PROPIA,0,6000,28500,27,0,11,0,SINODATOS,1591.47,0,NO,POTENCIALES,V1F1,V1,F1,V2,F1
29/08/1988,MASCULINO,CASADO,SECUNDARIA,PADRES,0,12000,28500,28,0,10,0,NO,1018.54,0,SI,POTENCIALES,V2F1,V2,F1,V2,F1
14/04/1989,MASCULINO,CASADO,BACHILLERATO,FAMILIARES,0,17000,28000,0,5,3,0,NO,700,542.52,NO,POTENCIALES,V3F2,V3,F2,V4,F4
10/08/1965,FEMENINO,CASADO,PRIMARIA,PROPIA,0,8000,28000,1,0,10,0,SINODATOS,840,32,NO,PERDIDOS,V1F1,V1,F1,V2,F1
