FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2,CLASE3,CLASE4,VALORNUEVO,FRESCURANUEVO
20/07/1982,FEMENINO,CASADO,SECUNDARIA,FAMILIARES,0,3500,28000,13,0,7,0,SINODATOS,980,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
14/05/1990,MASCULINO,SOLTERO,LICENCIATURA,RENTADA,0,3750,28000,1,0,0,6,SINODATOS,500,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
16/09/1992,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,5625,28973,7,0,0,10,NO,1687.5,0,NO,POTENCIALES,V1F2,V1,F2,V2,F4
16/07/1993,MASCULINO,SOLTERO,LICENCIATURA,PROPIA,0,4871,28989,18,0,2,0,NO,909.41,0,NO,POTENCIALES,V3F2,V3,F2,V3,F2
25/06/1992,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,6000,28000,26,0,0,6,NO,1591.47,0,NO,POTENCIALES,V2F1,V2,F1,V2,F2
12/05/1994,MASCULINO,SOLTERO,LICENCIATURA,PROPIA,0,6000,28984,29,0,1,2,NO,1500,0,SI,CAMPEONES,V4F5,V4,F5,V4,F5
26/08/1993,FEMENINO,UNIONLIBRE,LICENCIATURA,PROPIA,0,13000,28040,24,0,2,6,NO,1847.25,-80.6,NO,POTENCIALES,V2F2,V2,F2,V3,F2
12/12/1969,FEMENINO,SOLTERO,PRIMARIA,PAGANDOLA,0,5625,28984,0,6,3,0,SINODATOS,549.26,0,NO,ATENCION ALTA,V2F4,V2,F4,V3,F5
10/12/1969,MASCULINO,CASADO,BACHILLERATO,PROPIA,1,6400,49840,22,0,1,0,SINODATOS,1091.29,572,SI,POTENCIALES,V4F1,V4,F1,V4,F1
21/06/1991,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,10500,28110,15,0,2,0,NO,1591.47,310.28,NO,POTENCIALES,V2F2,V2,F2,V2,F2
26/06/1990,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,12000,28000,10,0,1,0,NO,1705.15,286.7,NO,POTENCIALES,V2F2,V2,F2,V2,F2
11/10/1994,MASCULINO,SOLTERO,LICENCIATURA,FAMILIARES,0,7000,28000,10,0,2,0,NO,1750,0,NO,POTENCIALES,V1F1,V1,F1,V1,F1
14/02/1990,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,9000,28044,27,0,1,6,NO,2291.72,0,NO,POTENCIALES,V2F1,V2,F1,V3,F1
19/11/1997,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,8000,28040,9,0,1,0,SINODATOS,1420.96,0,NO,PERDIDOS,V1F1,V1,F1,V2,F1
22/05/1988,FEMENINO,CASADO,LICENCIATURA,PADRES,0,8000,28979,18,0,5,10,NO,2400,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F2
23/11/1993,MASCULINO,CASADO,LICENCIATURA,PROPIA,0,14000,28000,1,0,1,6,SINODATOS,1420.96,0,NO,POTENCIALES,V3F1,V3,F1,V3,F1
05/01/1974,FEMENINO,SOLTERO,SECUNDARIA,PROPIA,0,3400,28000,0,6,0,7,SINODATOS,952,125.28,NO,POTENCIALES,V1F1,V1,F1,V2,F1
17/05/1997,MASCULINO,SOLTERO,SECUNDARIA,PADRES,0,6000,28080,15,0,0,2,SINODATOS,1420.96,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
31/01/1987,FEMENINO,SOLTERO,LICENCIATURA,AMIGOS,0,8000,28000,3,3,4,0,SINODATOS,1477.79,11.64,NO,ATENCION ALTA,V2F2,V2,F2,V3,F2
01/12/1999,MASCULINO,SOLTERO,BACHILLERATO,PROPIA,0,8000,28979,5,0,5,0,NO,1420.96,0,SI,PERDIDOS,V1F2,V1,F2,V2,F2
18/04/1960,MASCULINO,CASADO,BACHILLERATO,PROPIA,2,3750,28984,22,0,0,3,SINODATOS,1091.29,896.68,NO,POTENCIALES,V2F2,V2,F2,V3,F2
08/09/1996,MASCULINO,SOLTERO,BACHILLERATO,FAMILIARES,0,10000,28000,2,0,4,0,NO,500,0,NO,POTENCIALES,V1F1,V1,F1,V2,F2
11/05/1970,FEMENINO,CASADO,BACHILLERATO,FAMILIARES,0,5000,28040,3,0,10,0,NO,1018.54,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
07/10/1989,MASCULINO,SOLTERO,LICENCIATURA,FAMILIARES,0,8000,28400,28,0,7,0,NO,2240,9.7,NO,PERDIDOS,V1F1,V1,F1,V2,F1
12/10/1981,FEMENINO,UNIONLIBRE,SECUNDARIA,PROPIA,2,10000,28550,2,2,3,0,SINODATOS,1018.54,232.4,SI,PERDIDOS,V2F1,V2,F1,V2,F1
26/12/1976,MASCULINO,CASADO,BACHILLERATO,FAMILIARES,2,12000,28030,0,1,12,0,SINODATOS,1477.79,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F2
02/10/1995,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,2000,28000,22,0,2,0,NO,500,0,NO,POTENCIALES,V1F1,V1,F1,V1,F2
06/07/1995,MASCULINO,SOLTERO,BACHILLERATO,FAMILIARES,0,3501,28000,22,0,2,0,NO,875.25,13.96,NO,POTENCIALES,V2F2,V2,F2,V3,F2
11/08/1994,FEMENINO,SOLTERO,BACHILLERATO,RENTADA,0,3200,28000,3,0,1,0,SINODATOS,737.5,0,NO,ATENCION ALTA,V2F2,V2,F2,V3,F2
22/06/1982,MASCULINO,UNIONLIBRE,SECUNDARIA,PROPIA,0,8000,28074,0,2,3,0,NO,945.79,151.6,SI,PERDIDOS,V1F1,V1,F1,V1,F1
06/07/1981,MASCULINO,UNIONLIBRE,LICENCIATURA,RENTADA,0,15000,28000,3,0,4,0,NO,1171.47,234.24,SI,LEALTAD,V3F3,V3,F3,V3,F4
18/08/1992,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,4000,28070,25,0,0,2,NO,945.79,0,NO,PERDIDOS,V1F1,V1,F1,V1,F2
23/03/1986,FEMENINO,CASADO,LICENCIATURA,RENTADA,1,14500,28046,3,3,1,7,SINODATOS,1316.7,804.3,NO,ATENCION ALTA,V3F2,V3,F2,V3,F3
14/06/1993,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,8000,28048,25,0,0,6,NO,909.41,0,NO,POTENCIALES,V2F2,V2,F2,V2,F2
19/10/1992,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,6000,28040,0,7,1,0,NO,1018.54,78,NO,LEALTAD,V3F3,V3,F3,V3,F4
04/10/1995,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,4000,28000,3,0,0,6,NO,909.41,0,SI,POTENCIALES,V1F2,V1,F2,V1,F2
02/09/1974,MASCULINO,SOLTERO,SECUNDARIA,PROPIA,0,12000,28000,2,0,10,0,SINODATOS,1705.15,484,SI,PERDIDOS,V1F1,V1,F1,V1,F1
03/03/1997,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,5000,28000,5,0,1,0,NO,1250,8,NO,CAMPEONES,V5F5,V5,F5,V5,F5
16/10/1994,FEMENINO,SOLTERO,BACHILLERATO,PROPIA,1,5000,28060,23,0,0,6,SINODATOS,909.41,53.46,NO,POTENCIALES,V1F2,V1,F2,V1,F2
16/07/1995,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,4000,28000,20,0,0,4,NO,909.41,46.4,NO,POTENCIALES,V2F2,V2,F2,V4,F2
06/08/1996,MASCULINO,SOLTERO,SECUNDARIA,FAMILIARES,0,10000,28000,3,0,7,0,NO,1420.96,0,NO,POTENCIALES,V3F1,V3,F1,V3,F2
01/08/1990,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,5000,28000,0,1,3,6,NO,1300,66.5,SI,ATENCION ALTA,V2F2,V2,F2,V2,F2
16/07/1994,MASCULINO,SOLTERO,LICENCIATURA,FAMILIARES,0,8000,28000,4,0,8,0,NO,909.41,15.68,NO,POTENCIALES,V1F1,V1,F1,V2,F2
11/07/1969,FEMENINO,CASADO,SECUNDARIA,PROPIA,0,4180,28000,4,0,0,9,SINODATOS,1018.54,186,SI,POTENCIALES,V2F1,V2,F1,V2,F1
12/01/1994,MASCULINO,CASADO,LICENCIATURA,PRESTADA,1,6000,28000,1,2,0,1,NO,1500,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
23/02/1993,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,10000,28000,24,0,2,0,NO,1420.96,242.5,NO,POTENCIALES,V1F1,V1,F1,V1,F1
17/08/1977,MASCULINO,CASADO,LICENCIATURA,PROPIA,0,6300,28984,0,5,12,0,SINODATOS,1705.15,525.72,NO,PERDIDOS,V1F1,V1,F1,V2,F1
02/05/1981,FEMENINO,CASADO,BACHILLERATO,PROPIA,0,5000,28000,4,0,5,0,SINODATOS,1500,980,NO,LEALTAD,V3F3,V3,F3,V3,F3
11/08/1992,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,11000,28000,0,2,3,0,NO,945.79,0,SI,POTENCIALES,V3F2,V3,F2,V3,F2
02/01/1995,MASCULINO,SOLTERO,SECUNDARIA,RENTADA,0,3750,28000,0,1,0,4,NO,500,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F3
12/09/1996,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,16000,28000,10,0,5,0,NO,2046.18,59.4,NO,POTENCIALES,V1F1,V1,F1,V2,F2
28/11/1987,FEMENINO,CASADO,BACHILLERATO,RENTADA,2,5750,28000,3,0,6,0,SINODATOS,810.44,-63.14,NO,LEALTAD,V3F4,V3,F4,V3,F4
13/05/1968,MASCULINO,CASADO,LICENCIATURA,PROPIA,0,25000,28000,15,0,26,0,SINODATOS,2864.65,453.52,NO,POTENCIALES,V4F2,V4,F2,V4,F2
06/06/1994,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,5625,28979,20,0,0,3,NO,1406.25,0,NO,PERDIDOS,V1F2,V1,F2,V3,F3
26/05/1995,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,7000,28000,6,0,1,6,NO,1420.96,0,NO,POTENCIALES,V1F1,V1,F1,V2,F2
26/09/1991,FEMENINO,UNIONLIBRE,LICENCIATURA,PADRES,1,10000,28046,20,0,1,0,SINODATOS,945.79,98.8,NO,LEALTAD,V3F4,V3,F4,V3,F4
20/05/1996,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,4000,28000,21,0,3,0,NO,1000,0,NO,POTENCIALES,V2F3,V2,F3,V2,F3
20/10/1974,FEMENINO,SOLTERO,SECUNDARIA,FAMILIARES,0,4000,28984,5,0,0,5,SINODATOS,945.79,88.4,NO,PERDIDOS,V0F0,V0,F0,V1,F1
21/04/1983,FEMENINO,SOLTERO,BACHILLERATO,PROPIA,1,6000,28000,12,0,0,7,SINODATOS,1018.54,154.58,NO,PERDIDOS,V0F0,V0,F0,V1,F1
07/01/1941,MASCULINO,CASADO,PRIMARIA,PROPIA,0,10000,28989,2,0,5,0,SINODATOS,1023.09,0,NO,POTENCIALES,V2F2,V2,F2,V2,F2
15/09/1997,MASCULINO,SOLTERO,BACHILLERATO,FAMILIARES,0,8800,28000,20,0,1,0,NO,727.53,27.02,NO,PERDIDOS,V1F1,V1,F1,V1,F1
12/06/1970,FEMENINO,SOLTERO,SECUNDARIA,PROPIA,0,4000,28000,8,0,3,0,SINODATOS,1018.54,0,SI,POTENCIALES,V2F1,V2,F1,V2,F1
06/02/1998,MASCULINO,SOLTERO,SECUNDARIA,FAMILIARES,0,4000,28000,19,0,0,6,NO,545.64,0,NO,POTENCIALES,V2F1,V2,F1,V2,F1
12/10/1994,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,6000,28978,7,0,0,6,NO,1420.96,0,NO,POTENCIALES,V1F2,V1,F2,V1,F2
06/04/1976,FEMENINO,SOLTERO,BACHILLERATO,PROPIA,0,15000,28000,28,0,10,0,SINODATOS,1705.15,0,NO,POTENCIALES,V2F3,V2,F3,V2,F3
17/12/1994,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,10000,28510,22,0,0,8,NO,909.41,0,NO,POTENCIALES,V3F2,V3,F2,V3,F2
31/10/1972,FEMENINO,CASADO,SECUNDARIA,PROPIA,0,6000,28000,16,9,20,0,SINODATOS,1091.29,85.56,SI,POTENCIALES,V3F2,V3,F2,V3,F3
28/03/1992,MASCULINO,SOLTERO,SECUNDARIA,FAMILIARES,0,6000,28983,1,0,0,3,NO,500,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
10/01/1998,FEMENINO,UNIONLIBRE,BACHILLERATO,PROPIA,1,7000,28000,15,0,3,0,SINODATOS,909.41,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
15/05/1985,FEMENINO,UNIONLIBRE,PRIMARIA,FAMILIARES,0,6000,28000,1,0,11,0,SINODATOS,945.79,74,NO,POTENCIALES,V2F2,V2,F2,V2,F2
19/09/1971,FEMENINO,SOLTERO,SECUNDARIA,PADRES,0,20800,28700,45,0,7,0,NO,2482.7,0,SI,PERDIDOS,V1F1,V1,F1,V2,F1
28/07/1989,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,10000,49840,1,7,1,0,NO,1705.15,198,NO,ATENCION MEDIA,V1F2,V1,F2,V1,F2
08/04/1993,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,6200,28000,17,0,17,0,NO,909.41,0,NO,POTENCIALES,V1F2,V1,F2,V2,F2
04/09/1994,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,10000,28000,18,0,8,0,NO,1420.96,37.62,NO,PERDIDOS,V1F1,V1,F1,V1,F1
18/10/1994,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,5500,28400,23,0,1,0,NO,909.41,0,NO,CAMPEONES,V4F5,V4,F5,V4,F5
12/04/1996,FEMENINO,CASADO,CARRERATECNICA,RENTADA,0,6000,28000,2,0,6,0,SINODATOS,580.28,0,NO,POTENCIALES,V2F2,V2,F2,V3,F3
20/02/1973,MASCULINO,UNIONLIBRE,BACHILLERATO,PROPIA,0,20000,28047,20,0,6,0,SINODATOS,1591.47,0,NO,LEALTAD,V3F3,V3,F3,V4,F3
27/08/1990,MASCULINO,SOLTERO,LICENCIATURA,RENTADA,1,16000,28984,1,7,6,2,SI,2476.93,0,NO,POTENCIALES,V4F2,V4,F2,V4,F2
15/10/1998,MASCULINO,SOLTERO,BACHILLERATO,PROPIA,0,3750,28046,18,0,1,0,NO,937.5,0,SI,POTENCIALES,V3F2,V3,F2,V3,F3
27/09/1981,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,16000,28000,5,0,6,0,NO,1705.15,1100.6,NO,PERDIDOS,V1F1,V1,F1,V1,F1
08/01/1994,FEMENINO,SOLTERO,CARRERATECNICA,FAMILIARES,0,8000,28000,17,0,1,0,NO,909.41,13.68,SI,PERDIDOS,V1F1,V1,F1,V1,F1
20/11/1990,MASCULINO,UNIONLIBRE,SECUNDARIA,FAMILIARES,0,5000,28979,3,2,4,0,SINODATOS,500,0,SI,POTENCIALES,V2F2,V2,F2,V2,F2
04/10/1994,FEMENINO,UNIONLIBRE,BACHILLERATO,FAMILIARES,0,3600,28048,4,0,1,0,NO,540,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F2
12/02/1995,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,8000,28000,1,10,2,0,NO,2000,438.26,NO,POTENCIALES,V2F2,V2,F2,V3,F3
28/08/1987,MASCULINO,SOLTERO,BACHILLERATO,PROPIA,0,6000,28450,30,0,4,0,NO,1091.29,206,SI,PERDIDOS,V1F1,V1,F1,V1,F1
09/10/1968,MASCULINO,CASADO,BACHILLERATO,PROPIA,3,18000,28976,27,0,27,0,SINODATOS,1705.15,303.8,NO,PERDIDOS,V1F1,V1,F1,V1,F1
18/04/1990,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,4600,28000,1,6,0,7,NO,1196,247.5,SI,POTENCIALES,V1F1,V1,F1,V1,F1
05/05/1975,FEMENINO,CASADO,BACHILLERATO,PROPIA,2,5000,28000,12,0,4,0,SINODATOS,1091.29,0,NO,POTENCIALES,V1F2,V1,F2,V2,F2
30/07/1993,FEMENINO,SOLTERO,BACHILLERATO,FAMILIARES,0,4000,28000,24,0,6,0,NO,909.41,0,SI,PERDIDOS,V0F0,V0,F0,V1,F1
06/12/1988,MASCULINO,SOLTERO,LICENCIATURA,RENTADA,0,12000,28000,0,7,2,6,NO,2554.93,123.08,SI,POTENCIALES,V1F1,V1,F1,V1,F1
14/12/1989,MASCULINO,UNIONLIBRE,SECUNDARIA,PROPIA,0,8000,28048,0,4,3,0,SINODATOS,945.79,118.8,NO,POTENCIALES,V2F2,V2,F2,V3,F3
03/12/1989,FEMENINO,CASADO,BACHILLERATO,PROPIA,0,12000,28000,6,0,3,0,SINODATOS,1091.29,198,SI,PERDIDOS,V1F2,V1,F2,V2,F2
10/12/1996,MASCULINO,SOLTERO,BACHILLERATO,PROPIA,0,5800,28090,6,0,1,0,NO,909.41,0,NO,POTENCIALES,V2F2,V2,F2,V3,F2
16/08/1999,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,4000,28000,6,0,2,0,NO,909.41,0,NO,LEALTAD,V3F3,V3,F3,V3,F3
05/10/1981,MASCULINO,UNIONLIBRE,SECUNDARIA,PAGANDOLA,4,8000,28000,6,0,12,0,SINODATOS,1165.15,187.61,NO,POTENCIALES,V2F1,V2,F1,V2,F1
09/09/1984,FEMENINO,SOLTERO,SECUNDARIA,PADRES,0,18000,28000,0,10,7,0,NO,1705.15,759,NO,CAMPEONES,V4F5,V4,F5,V4,F5
19/11/1996,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,7000,28000,7,0,4,0,NO,909.41,0,SI,POTENCIALES,V2F2,V2,F2,V3,F2
14/09/1991,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,5000,28000,2,0,5,0,NO,1250,0,NO,POTENCIALES,V2F2,V2,F2,V3,F2
28/06/1974,FEMENINO,SOLTERO,PRIMARIA,FAMILIARES,0,6400,28000,7,0,4,0,SINODATOS,1018.54,196,SI,POTENCIALES,V2F2,V2,F2,V2,F2
08/08/1997,MASCULINO,SOLTERO,LICENCIATURA,PROPIA,0,11000,28010,5,0,0,3,NO,909.41,0,NO,POTENCIALES,V2F2,V2,F2,V2,F2
29/11/1997,FEMENINO,SOLTERO,BACHILLERATO,FAMILIARES,0,4800,28000,2,0,3,0,NO,909.41,0,NO,PERDIDOS,V2F1,V2,F1,V2,F1
10/02/1994,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,10000,28978,4,10,0,5,NO,1420.96,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
04/03/1951,MASCULINO,SOLTERO,PRIMARIA,PROPIA,0,5470,28000,12,0,10,0,NO,1531.6,3.76,NO,POTENCIALES,V1F1,V1,F1,V2,F2
26/01/1998,MASCULINO,SOLTERO,BACHILLERATO,PROPIA,0,7000,28170,15,0,4,0,NO,1420.96,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
11/02/1989,MASCULINO,SOLTERO,BACHILLERATO,FAMILIARES,0,7000,28400,5,0,5,0,NO,945.79,0,NO,PERDIDOS,V1F2,V1,F2,V1,F2
23/01/1952,FEMENINO,SOLTERO,BACHILLERATO,FAMILIARES,0,15200,28550,40,0,14,0,SINODATOS,1705.15,741.8,NO,POTENCIALES,V3F2,V3,F2,V3,F2
20/04/1972,FEMENINO,CASADO,LICENCIATURA,PROPIA,0,6000,28973,9,11,2,0,SINODATOS,1018.54,0,NO,PERDIDOS,V0F0,V0,F0,V2,F1
21/12/1990,FEMENINO,UNIONLIBRE,LICENCIATURA,PROPIA,0,40000,28520,2,8,2,6,SINODATOS,1477.79,0,NO,POTENCIALES,V2F1,V2,F1,V2,F1
20/07/1976,FEMENINO,CASADO,SECUNDARIA,PROPIA,0,8000,28000,3,0,2,0,SINODATOS,945.79,0,SI,LEALTAD,V3F4,V3,F4,V3,F4
15/03/1989,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,9000,28400,18,0,18,0,NO,1591.47,0,NO,PERDIDOS,V1F1,V1,F1,V1,F2
09/02/1997,MASCULINO,SOLTERO,SECUNDARIA,PROPIA,0,4800,28400,20,0,0,6,NO,909.41,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
27/10/1953,FEMENINO,CASADO,BACHILLERATO,PROPIA,0,6000,28984,22,0,1,0,NO,1705.15,414,NO,PERDIDOS,V1F1,V1,F1,V1,F1
13/05/1988,FEMENINO,CASADO,LICENCIATURA,PROPIA,0,12000,28000,1,6,1,0,NO,3307.99,199.94,NO,LEALTAD,V3F3,V3,F3,V4,F4
20/01/1989,FEMENINO,DIVORCIADO,SECUNDARIA,PROPIA,0,4000,28000,1,6,1,6,SINODATOS,909.41,0,NO,POTENCIALES,V2F2,V2,F2,V3,F2
27/04/1983,FEMENINO,UNIONLIBRE,LICENCIATURA,PAGANDOLA,0,7500,28000,2,5,7,0,SINODATOS,500,363.94,SI,POTENCIALES,V2F3,V2,F3,V2,F3
22/06/1986,FEMENINO,CASADO,LICENCIATURA,PAGANDOLA,0,10000,28079,1,6,8,0,NO,805.15,1025.5,NO,POTENCIALES,V1F2,V1,F2,V1,F2
21/06/1988,FEMENINO,CASADO,LICENCIATURA,PAGANDOLA,0,16000,28000,0,6,3,0,SINODATOS,2215.63,45.54,NO,PERDIDOS,V1F1,V1,F1,V1,F2
08/09/1961,FEMENINO,CASADO,PRIMARIA,PROPIA,0,10000,28984,1,6,3,7,SINODATOS,2216.7,27.72,SI,PERDIDOS,V1F1,V1,F1,V1,F1
07/11/1999,MASCULINO,SOLTERO,PRIMARIA,FAMILIARES,0,15000,28047,3,0,4,10,NO,800.28,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
27/04/1999,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,4000,28046,9,7,1,0,NO,909.41,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
16/09/1995,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,8000,28000,22,0,6,0,NO,1420.96,31.68,NO,PERDIDOS,V2F1,V2,F1,V3,F2
02/04/1948,FEMENINO,CASADO,PRIMARIA,PROPIA,0,4000,28000,0,4,50,0,SINODATOS,600,308.36,SI,PERDIDOS,V1F1,V1,F1,V2,F1
19/09/1992,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,10000,28045,3,0,1,6,SINODATOS,1477.79,7.52,NO,LEALTAD,V3F3,V3,F3,V3,F3
10/10/1957,FEMENINO,SOLTERO,PRIMARIA,PROPIA,0,6000,28000,34,0,2,0,SINODATOS,1018.54,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
19/03/1991,FEMENINO,SOLTERO,BACHILLERATO,FAMILIARES,0,4000,28079,1,0,15,0,NO,550,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F2
25/09/1999,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,8000,28307,5,0,2,9,NO,800.28,0,SI,PERDIDOS,V1F1,V1,F1,V1,F1
06/06/1993,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,8000,28000,6,1,1,0,NO,909.41,0,NO,POTENCIALES,V2F2,V2,F2,V2,F2
31/10/1972,MASCULINO,CASADO,SECUNDARIA,PROPIA,3,7000,28520,20,0,5,0,SINODATOS,1591.47,108.32,NO,POTENCIALES,V1F1,V1,F1,V1,F1
08/07/1987,MASCULINO,SOLTERO,LICENCIATURA,PAGANDOLA,1,14000,28070,0,8,13,0,SINODATOS,1555.42,456.54,SI,POTENCIALES,V3F2,V3,F2,V3,F2
17/12/1998,MASCULINO,SOLTERO,SECUNDARIA,PADRES,0,8500,28048,7,0,0,7,SINODATOS,1420.96,0,NO,POTENCIALES,V3F2,V3,F2,V3,F2
17/09/1974,FEMENINO,SOLTERO,CARRERATECNICA,RENTADA,0,4500,28000,0,8,1,6,SINODATOS,815.79,197.98,SI,POTENCIALES,V2F3,V2,F3,V2,F3
20/03/1967,MASCULINO,CASADO,BACHILLERATO,RENTADA,1,9000,28000,5,0,6,0,SINODATOS,1555.15,1196,NO,CAMPEONES,V4F5,V4,F5,V5,F5
06/04/1998,MASCULINO,UNIONLIBRE,SECUNDARIA,PRESTADA,0,5600,28979,0,1,0,3,NO,1008,0,SI,PERDIDOS,V1F2,V1,F2,V2,F2
10/05/1995,MASCULINO,SOLTERO,SECUNDARIA,PADRES,0,12000,28000,5,0,5,0,NO,1420.96,0,NO,PERDIDOS,V1F1,V1,F1,V2,F1
31/10/1966,MASCULINO,CASADO,CARRERATECNICA,PROPIA,0,10000,28000,27,0,25,0,SINODATOS,1705.15,283.14,NO,PERDIDOS,V1F1,V1,F1,V1,F1
03/02/1992,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,12000,28000,25,0,7,0,NO,1705.15,0,NO,POTENCIALES,V2F2,V2,F2,V2,F2
07/02/1989,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,10000,28000,3,11,8,6,NO,1591.47,98.6,NO,LEALTAD,V2F4,V2,F4,V2,F4
09/12/1994,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,8792,28400,2,0,0,5,NO,1420.96,54.52,NO,POTENCIALES,V2F3,V2,F3,V3,F3
07/01/1995,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,3600,28403,22,0,0,6,NO,900,0,SI,POTENCIALES,V2F2,V2,F2,V2,F2
11/10/1979,FEMENINO,SOLTERO,SECUNDARIA,PROPIA,0,4000,28000,13,0,3,0,SINODATOS,945.79,5.94,NO,POTENCIALES,V3F2,V3,F2,V3,F2
28/11/1993,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,14000,28978,5,2,0,6,SINODATOS,909.41,27.16,NO,POTENCIALES,V3F2,V3,F2,V4,F3
15/11/1973,MASCULINO,CASADO,SECUNDARIA,PADRES,0,20000,28550,40,0,10,0,SINODATOS,945.79,0,NO,LEALTAD,V3F3,V3,F3,V3,F4
26/07/1993,MASCULINO,SOLTERO,POSTGRADO,PADRES,0,6000,28000,3,2,0,3,NO,1500,0,SI,CAMPEONES,V5F4,V5,F4,V5,F5
18/09/1999,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,4000,28000,18,0,0,1,NO,909.41,0,NO,POTENCIALES,V2F1,V2,F1,V2,F1
22/10/1995,FEMENINO,UNIONLIBRE,BACHILLERATO,FAMILIARES,0,5500,28000,5,0,5,0,SINODATOS,500,0,NO,POTENCIALES,V2F2,V2,F2,V2,F2
17/11/1992,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,8000,28979,24,0,2,6,NO,1705.15,0,NO,LEALTAD,V3F3,V3,F3,V3,F4
09/10/1999,FEMENINO,SOLTERO,BACHILLERATO,PROPIA,0,4800,28000,8,0,8,2,NO,909.41,0,NO,PERDIDOS,V1F1,V1,F1,V1,F1
01/05/1994,FEMENINO,UNIONLIBRE,SECUNDARIA,RENTADA,0,5000,28000,3,0,0,7,SINODATOS,584.41,346.86,NO,PERDIDOS,V0F0,V0,F0,V1,F1
18/05/1996,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,6400,28000,3,0,0,1,NO,909.41,228.96,NO,ATENCION ALTA,V2F2,V2,F2,V2,F2
05/03/1998,FEMENINO,SOLTERO,BACHILLERATO,FAMILIARES,0,7000,28047,3,0,1,0,SINODATOS,800.28,0,SI,PERDIDOS,V1F1,V1,F1,V2,F1
