14-109,15484,6850,10040730,9.97,121,1352,0
14-110,13737,4492,6584374,9.96,139,1920,249
14-111,5859,2781,4076390,9.97,166,1399,0
14-112,5218,2026,2969711,9.99,120,1623,0
14-114,17824,5938,8703920,9.96,26,1047,0
14-115,5417,1297,1901143,9.99,290,82,0
14-116,15666,6791,9954248,9.98,212,2966,0
14-68,10704,3310,4851798,9.98,237,320,0
14-118,22284,7255,10634379,9.97,176,5508,206
14-119,27901,9263,13577705,9.95,15,3496,352
14-120,1142000,578546,848032727,6.15,63,553467,29993
14-121,29192,11067,16222009,9.90,92,4149,0
14-122,7027,2267,3322969,9.98,142,102,0
14-123,17893,5734,8404897,9.97,118,786,0
14-23,105423,44816,65691293,9.72,81,44492,6305
14-124,63636,27172,39828718,9.85,99,11747,357
16-1,11425,3602,6959064,9.94,171,452,0
16-2,15241,4491,8676612,9.96,318,697,0
16-3,21651,5762,11132184,9.91,133,606,0
16-4,15193,4446,8589672,9.96,97,937,0
16-5,11120,3004,5803728,9.99,218,188,0
16-6,128250,51519,99534708,9.50,282,33749,2258
16-7,3218,850,1642200,10.00,187,65,0
16-8,24864,7003,13529796,9.96,266,250,0
16-9,36549,11959,23104788,9.82,213,8686,226
16-10,22138,6538,12631416,9.95,407,579,0
16-11,11328,3555,6868260,9.99,150,264,0
16-12,47498,20449,39507468,9.86,249,2820,0
16-13,9485,2156,4165392,10.00,272,129,0
16-21,12373,4255,8220660,9.99,210,134,0
16-22,21784,7273,14051436,9.91,156,509,0
16-23,10258,3349,6470268,9.96,178,939,0
16-24,19081,6527,12610164,9.99,200,1478,0
16-25,39035,14128,27295296,9.94,183,1444,0
16-26,5032,1566,3025512,9.97,232,26,0
16-27,4559,1113,2150316,9.99,131,41,0
16-28,5016,1245,2405340,9.97,129,649,0
16-29,15455,4221,8154972,9.99,357,212,0
16-14,14392,5263,10168116,9.97,231,512,0
16-15,18444,6542,12639144,9.90,271,2128,0
16-16,20749,5475,10577700,9.93,155,633,0
16-74,10450,3278,6333096,9.99,117,177,0
16-17,34193,9666,18674712,9.97,207,440,0
16-18,9151,2302,4447464,9.96,116,99,0
16-19,19018,6099,11783268,9.92,160,2921,0
16-20,29681,9193,17760876,9.90,101,902,0
16-30,12788,3677,7103964,9.97,134,320,0
16-31,16622,3899,7532868,9.98,162,190,0
16-32,15291,5346,10328472,9.97,200,328,0
16-33,22707,7500,14490000,9.94,270,973,0
16-34,122619,40192,77650944,9.79,200,18095,2666
16-36,11723,3776,7295232,9.99,116,1181,0
16-37,8093,1868,3608976,9.98,147,219,0
16-38,40818,12497,24144204,9.93,336,5846,0
16-39,8838,2647,5114004,9.98,169,198,0
16-40,16990,5214,10073448,9.96,140,346,0
16-41,15215,4996,9652272,9.97,192,360,0
16-42,12720,4590,8867880,9.98,165,272,0
16-43,69744,28167,54418644,9.59,164,10369,1101
16-44,12426,3314,6402648,9.97,127,256,0
16-45,32950,11891,22973412,9.92,142,11208,664
16-113,26214,5951,11497332,9.92,65,1613,0
16-46,14387,4291,8290212,9.99,270,412,0
16-47,21548,6810,13156920,9.98,231,555,0
16-35,34243,9741,18819612,9.96,276,1579,129
16-69,103702,39476,76267632,9.71,112,26579,2702
16-48,5571,1654,3195528,9.99,167,186,0
16-52,183185,70199,135624468,9.38,442,53434,3019
16-75,69723,27491,53112612,9.87,234,16144,1700
16-49,18030,5252,10146864,9.97,188,421,0
16-50,88535,28267,54611844,9.84,168,13437,2341
16-51,13750,5235,10114020,9.99,120,2561,0
16-53,784776,320793,619772076,6.61,134,320598,20640
16-54,7806,1712,3307584,9.99,117,164,0
16-55,45484,16786,32430552,9.90,287,8179,1680
16-56,28074,7394,14285208,9.98,172,301,0
16-57,8195,1973,3811836,9.99,266,102,0
16-58,19595,7844,15154608,9.97,250,816,0
16-59,7988,2449,4731468,9.97,264,239,0
16-60,9794,2982,5761224,9.98,109,536,0
16-61,24424,6344,12256608,9.97,218,231,0
16-62,19440,6230,12036360,9.98,150,429,0
16-63,15705,4546,8782872,9.96,112,1166,0
16-65,37464,12262,23690184,9.90,202,3125,0
16-64,26789,9265,17899980,9.90,113,755,0
16-66,93265,33685,65079420,9.75,186,17125,2535
16-67,16920,3899,7532868,9.97,124,361,0
16-68,27832,10917,21091644,9.91,214,4290,0
16-70,15255,5562,10745784,9.93,160,2419,0
16-71,67644,18863,36443316,9.82,97,10042,1379
16-72,13836,4182,8079624,9.98,147,432,0
16-73,27862,11274,21781368,9.94,171,3224,1071
16-76,76587,31275,60423300,9.61,134,28792,1368
16-79,49588,14854,28697928,9.86,198,1326,0
16-77,17845,4547,8784804,9.96,355,467,0
16-78,12466,3117,6022044,9.97,101,1009,0
16-80,19146,4727,9132564,9.98,198,157,0
16-81,8804,1953,3773196,10.00,280,76,0
16-82,76661,27331,52803492,9.71,234,14507,1457
16-83,31100,9137,17652684,9.96,244,2532,0
16-84,29268,9414,18187848,9.95,179,639,0
16-85,33621,12630,24401160,9.90,179,8853,258
16-86,15352,4745,9167340,9.97,137,1589,0
16-87,14819,5433,10496556,9.96,222,643,0
16-88,105400,38022,73458504,9.71,122,10842,1618
16-89,23842,9256,17882592,9.97,216,7922,98
16-90,15010,4961,9584652,9.90,194,457,0
16-91,14532,5178,10003896,9.98,194,1577,0
16-92,13731,3035,5863620,9.98,277,184,0
16-93,27788,7575,14634900,9.97,208,4349,0
16-94,6202,1907,3684324,9.99,151,328,0
16-95,11994,4109,7938588,9.97,184,564,0
16-96,6947,1436,2774352,10.00,366,64,0
16-97,31849,7193,13896876,9.95,261,567,0
16-98,27371,8353,16137996,9.97,213,2069,0
16-99,15383,3742,7229544,9.97,298,282,0
16-100,14432,5019,9696708,9.90,179,350,0
16-101,8966,2226,4300632,9.98,179,89,0
16-102,334749,131397,253859004,8.01,237,91955,7094
16-103,24708,7790,15050280,9.93,139,713,0
16-104,17166,4173,8062236,9.94,157,282,0
16-105,20624,6868,13268976,9.97,151,786,0
16-106,31404,10282,19864824,9.95,129,4147,0
16-107,75632,25886,50011752,9.89,134,21621,468
16-108,196208,81514,157485048,8.89,159,52684,6205
16-109,3200,903,1744596,10.00,121,145,0
16-110,47327,14035,27115620,9.87,142,8718,1792
16-111,17394,6094,11773608,9.87,211,645,0
16-112,164144,58407,112842324,9.63,241,25449,4250
18-1,37309,13089,24903131,9.96,375,6729,1084
18-2,15953,5683,10812476,9.98,180,880,0
18-3,11851,3995,7600887,9.99,150,367,0
18-20,150250,65407,124443358,9.83,309,28303,3986
18-4,75520,29558,56237051,9.90,242,16300,2517
18-9,42514,3627,6900730,9.93,440,32,0
18-5,12614,2711,5157949,9.98,394,62,0
18-6,29416,10327,19648150,9.98,163,12176,1844
18-7,18580,5284,10053338,9.97,173,442,0
18-19,14315,2522,4798357,9.99,193,53,0
18-10,33901,10928,20791613,9.93,324,535,0
18-11,24743,7923,15074300,9.99,304,4249,313
18-12,43979,17078,32492603,9.96,299,4478,934
18-13,7499,2456,4672786,9.99,220,215,0
18-14,23477,7518,14303747,9.98,218,667,0
18-15,97820,36531,69503881,9.94,301,11674,1263
18-16,39718,12732,24223903,9.97,374,8362,669
18-17,413608,177916,338502982,9.44,242,129537,13083
18-18,30565,11547,21969322,9.98,316,8124,2292
18-8,57418,23398,44517035,9.94,241,8375,2845
22-1,61259,19141,28700015,9.84,164,3266,0
22-3,13307,3429,5141443,9.96,338,115,0
22-4,69549,22272,33394637,9.85,177,3669,214
22-5,62667,22525,33773985,9.83,163,1167,0
22-6,181684,80832,121199501,9.36,105,45560,4739
22-11,156275,66015,98982891,9.18,117,15918,898
22-7,40572,15837,23745998,9.85,167,8701,1949
22-8,38295,12335,18495099,9.89,134,1180,0
22-9,26902,8045,12062673,9.92,290,2670,0
22-10,17947,3807,5708216,9.97,311,68,0
22-12,68313,26645,39951513,9.76,136,5350,445
22-13,20144,5214,7817872,9.97,227,117,0
22-2,25623,5474,8207716,9.95,249,208,0
22-14,878931,390239,585124357,4.75,106,395384,24754
22-15,9480,2814,4219312,9.98,243,206,0
22-16,268408,110569,165787159,8.89,161,54607,5510
22-17,70742,28829,43226203,9.80,167,14969,1158
22-18,28274,8648,12966811,9.95,185,314,0
24-1,18369,4972,8958550,9.96,244,358,0
24-2,8296,1807,3255853,9.98,434,29,0
24-3,48772,10410,18756738,9.97,415,165,0
24-4,4064,1062,1913512,9.99,222,34,0
24-53,37645,11441,20614394,9.91,396,3712,109
24-5,18491,5874,10583773,9.96,415,5452,1034
24-6,9705,2921,5263058,9.99,445,113,0
24-7,19176,6222,11210800,9.97,411,436,0
24-8,21288,6417,11562151,9.95,296,1009,0
24-9,4535,1763,3176573,9.98,217,356,0
24-15,20839,6887,12408997,9.97,350,819,0
24-10,32867,6777,12210799,9.92,396,19,0
24-11,45385,15345,27648621,9.94,298,1596,0
24-13,177022,66381,119605286,9.35,481,40610,2797
24-14,15184,4077,7345939,9.97,405,63,0
24-16,43569,13345,24045021,9.95,518,7106,1864
24-58,21955,6983,12581969,9.96,450,4529,0
24-17,26340,5478,9870260,9.93,284,147,0
24-18,15828,4092,7372966,9.97,403,112,0
24-19,5462,1192,2147746,9.99,358,27,0
24-20,99015,37205,67035969,9.72,383,20942,2738
24-57,31109,6966,12551339,9.93,405,213,0
24-21,57184,19272,34724290,9.80,226,1053,0
24-22,19539,4258,7672064,9.98,292,163,0
24-23,15279,4029,7259452,9.96,400,186,0
24-24,94191,31935,57540483,9.66,304,26925,1794
24-25,31794,7962,14345932,9.91,274,2052,0
24-26,9361,2015,3630627,9.99,422,34,0
24-27,10257,2986,5380175,9.99,338,261,0
24-28,824229,356728,642752510,6.05,210,293909,21439
24-29,21176,5851,10542332,9.98,442,108,0
24-30,5176,1077,1940539,9.99,260,23,0
24-34,14700,4438,7996388,9.98,453,154,0
24-31,11791,1941,3497294,9.99,376,15,0
24-32,39859,11282,20327908,9.85,199,3193,425
24-33,12210,2045,3684681,9.94,321,51,0
24-35,309342,128678,231852020,8.94,208,39084,7098
24-36,30087,8990,16198182,9.94,435,389,0
24-37,92291,22030,39693654,9.85,442,13512,1338
24-38,15382,4810,8666658,9.99,422,74,0
24-39,15598,4388,7906298,9.96,416,84,0
24-40,38751,13073,23554931,9.91,486,1481,722
24-12,20550,4900,8828820,9.96,413,716,0
24-41,19750,4478,8068460,9.96,437,61,0
24-42,15120,4972,8958550,9.97,436,1178,0
24-43,9383,2533,4563959,9.98,202,131,0
24-44,7629,2177,3922519,9.99,429,49,0
24-45,14486,4082,7354948,9.98,327,1040,0
24-56,15258,3890,7009002,9.97,278,330,0
24-46,17888,5808,10464854,9.93,199,201,0
24-47,9671,2383,4293689,9.98,385,65,0
24-48,5227,1732,3120718,9.99,394,155,0
24-49,37184,5426,9776567,9.89,320,187,0
24-50,49385,15802,28472044,9.81,156,679,0
24-51,14830,3952,7120714,9.96,285,25,0
24-52,10048,2341,4218014,9.99,307,96,0
24-54,52062,9418,16969352,9.93,373,2492,1578
24-55,26236,8329,15007192,9.95,191,273,0
32-1,6086,1797,3449162,10.00,198,76,0
32-2,4738,925,1775445,10.00,220,19,0
32-3,2427,589,1130527,9.99,249,23,0
32-4,3990,1014,1946272,9.99,490,32,0
32-5,45204,14738,28288117,9.68,330,7072,407
32-6,8393,1758,3374305,9.99,431,146,0
32-9,11416,2961,5683343,9.99,525,148,0
32-7,12944,4004,7685278,9.96,560,661,0
32-8,12590,3464,6648802,9.96,258,145,0
32-15,1160,176,337814,10.00,288,9,0
32-41,2455,747,1433792,10.00,502,3,0
32-10,230865,73251,140597969,8.74,363,38238,1710
32-12,8185,1824,3500986,9.98,277,86,0
32-13,6325,1876,3600794,9.94,338,222,0
32-14,21809,3397,6520202,9.99,477,143,0
32-16,23192,5807,11145956,9.89,292,179,0
32-17,187918,74764,143502022,9.17,302,29334,4286
32-18,4084,888,1704427,9.99,243,40,0
32-19,24093,7765,14904141,9.98,227,6030,1002
32-20,59125,20043,38470534,9.88,344,10520,1559
32-21,4275,725,1391565,9.99,559,6,0
32-22,21806,6817,13084550,9.94,507,3141,0
32-23,12627,3742,7182395,9.98,191,2418,0
32-24,53441,15936,30587558,9.91,249,8591,1218
32-25,13292,3665,7034601,9.95,257,234,0
32-26,17457,4580,8790852,9.97,571,121,0
32-27,2938,896,1719782,10.00,435,10,0
32-28,2484,448,859891,10.00,144,25,0
32-29,23827,7166,13754420,9.96,511,219,0
32-30,2404,768,1474099,10.00,246,38,0
32-31,9129,2674,5132476,9.95,347,1059,0
32-32,12354,4088,7846507,9.89,375,485,0
32-33,3947,794,1524004,9.99,173,30,0
32-34,27750,7981,15318731,9.98,211,2592,63
32-35,16864,3740,7178556,9.99,260,134,0
32-36,43471,11625,22313025,9.85,272,7809,1666
32-37,17647,4089,7848427,9.83,322,287,0
32-38,73151,15093,28969504,9.89,224,1253,0
32-39,63880,19013,36493552,9.84,440,14513,1312
32-40,22278,4512,8660333,9.96,430,105,0
32-58,2656,643,1234174,10.00,194,13,0
32-42,384,16563,31791022,9.90,473,10853,242
32-43,1329,299,573901,10.00,345,13,0
32-44,15484,4551,8735189,9.98,255,1663,0
32-45,8855,2619,5026909,9.98,216,105,0
32-46,7071,1717,3295610,9.96,391,78,0
32-47,5378,1733,3326320,9.98,185,1124,0
32-48,26645,8721,16739087,9.96,228,3990,204
32-57,19413,5703,10946338,9.92,304,229,0
32-11,2884,709,1360855,10.00,146,38,0
32-49,32606,7722,14821607,9.88,443,2097,0
32-50,9796,2618,5024989,9.92,314,179,0
32-51,35252,7312,14034653,9.96,372,338,0
32-52,18745,5445,10451133,10.00,238,364,0
32-53,13099,2956,5673746,9.99,267,169,0
32-54,19155,4324,8299486,9.99,237,137,0
32-55,30240,8176,15693014,9.95,321,3427,380
32-56,146147,58330,111958602,8.90,309,64495,5819
